Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Mean,Packet Length Std,Packet Length Variance,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Fwd Act Data Pkts,Active Mean,Active Std,Idle Mean,Idle Std,Label
264,1,1,33,304,33,0,304,0,1276515.15152,7575.75757576,264,0,0,0,0,0,0,0,8,8,3787.87878788,3787.87878788,123.333333333,156.46192295,24480.3333333,1,185,33,304,0,0,0,0,0,0,0,0,dns
25442,2,2,92,599,46,0,299.5,177.483802078,27159.81448,157.220344313,8.48066666667,14469.2074535,45,45,0,25188,25188,0,16,16,78.6101721563,78.6101721563,147.4,164.784101175,27153.8,1,184.25,46,299.5,691,4,27159,1,0,0,0,0,dns
352350,1,1,29,509,29,0,509,0,1526.89087555,5.67617425855,352.35,0,0,0,0,0,0,0,8,8,2.83808712927,2.83808712927,189,277.128129211,76800,1,283.5,29,509,0,0,0,0,0,0,0,0,dns
223346,2,2,60,581,30,0,290.5,290.620887068,2869.98647838,17.9094320024,74.4486666667,128712.479404,47,47,0,223073,223073,0,16,16,8.95471600118,8.95471600118,134.2,203.649699239,41473.2,1,167.75,30,290.5,641,4,2869,1,0,0,0,0,dns
1778,1,1,32,314,32,0,314,0,194600.674916,1124.85939258,1778,0,0,0,0,0,0,0,8,8,562.429696288,562.429696288,126,162.812775911,26508,1,189,32,314,0,0,0,0,0,0,0,0,dns
308,2,2,92,530,46,0,265,128.693434176,2019480.51948,12987.012987,0.102666666667,129.167849457,42,42,0,15,15,0,16,16,6493.50649351,6493.50649351,133.6,136.120534821,18528.8,1,167,46,265,622,4,2019480,1,0,0,0,0,dns
4015859,3,0,108,0,36,0,0,0,26.8933744935,0.747038180374,2007.9295,91.2167747731,4015859,2007.9295,91.2167747731,0,0,0,24,0,0.747038180374,0,36,0,0,0,48,36,0,0,0,0,2,0,0,0,0,dns
346,2,2,92,599,46,0,299.5,177.483802078,1997109.82659,11560.6936416,0.115333333333,123.557004388,45,45,0,43,43,0,16,16,5780.34682081,5780.34682081,147.4,164.784101175,27153.8,1,184.25,46,299.5,691,4,1997109,1,0,0,0,0,dns
390,2,2,92,599,46,0,299.5,177.483802078,1771794.87179,10256.4102564,0.13,99.2018144995,45,45,0,106,106,0,16,16,5128.20512821,5128.20512821,147.4,164.784101175,27153.8,1,184.25,46,299.5,691,4,1771794,1,0,0,0,0,dns
410,1,1,36,509,36,0,509,0,1329268.29268,4878.04878049,0.41,0,0,0,0,0,0,0,8,8,2439.02439024,2439.02439024,193.666666667,273.086677327,74576.3333333,1,290.5,36,509,0,0,0,0,0,0,0,0,dns
140785,1,1,34,353,34,0,353,0,2748.87239408,14.2060588841,140785,0,0,0,0,0,0,0,8,8,7.10302944206,7.10302944206,140.333333333,184.174735871,33920.3333333,1,210.5,34,353,0,0,0,0,0,0,0,0,dns
285,2,2,92,599,46,0,299.5,177.483802078,2424561.40351,14035.0877193,95,117.01281981,43,43,0,13,13,0,16,16,7017.54385965,7017.54385965,147.4,164.784101175,27153.8,1,184.25,46,299.5,691,4,2424561,1,0,0,0,0,dns
365,2,2,92,599,46,0,299.5,177.483802078,1893150.68493,10958.9041096,0.121666666667,82.0507972742,38,38,0,125,125,0,16,16,5479.45205479,5479.45205479,147.4,164.784101175,27153.8,1,184.25,46,299.5,691,4,1893150,1,0,0,0,0,dns
225,1,1,44,125,44,0,125,0,751111.111111,8888.88888889,225,0,0,0,0,0,0,0,8,8,4444.44444444,4444.44444444,71,46.7653718044,2187,1,106.5,44,125,0,0,0,0,0,0,0,0,dns
549,2,2,66,630,33,0,315,277.185858225,1267759.56284,7285.97449909,183,98.0153049273,245,245,0,70,0.07,0,16,16,3642.98724954,3642.98724954,145.8,207.521565144,43065.2,1,182.25,33,315,696,4,1267759,1,0,0,0,0,dns
168124,1,1,36,174,36,0,174,0,1249.07806143,11.8959815374,168124,0,0,0,0,0,0,0,8,8,5.94799076872,5.94799076872,82,79.6743371482,6348,1,123,36,174,0,0,0,0,0,0,0,0,dns
25420,2,2,92,599,46,0,299.5,177.483802078,27183.3202203,157.356412274,8.47333333333,14422.0073614,43,43,0,25126,25126,0,16,16,78.6782061369,78.6782061369,147.4,164.784101175,27153.8,1,184.25,46,299.5,691,4,27183,1,0,0,0,0,dns
28175,1,1,35,399,35,0,399,0,15403.7267081,70.9849157054,28175,0,0,0,0,0,0,0,8,8,35.4924578527,35.4924578527,156.333333333,210.155497985,44165.3333333,1,234.5,35,399,0,0,0,0,0,0,0,0,dns
301,1,1,45,316,45,0,316,0,1199335.54817,6644.51827243,301,0,0,0,0,0,0,0,8,8,3322.25913621,3322.25913621,135.333333333,156.46192295,24480.3333333,1,203,45,316,0,0,0,0,0,0,0,0,dns
307,1,1,36,509,36,0,509,0,1775244.29967,6514.65798046,307,0,0,0,0,0,0,0,8,8,3257.32899023,3257.32899023,193.666666667,273.086677327,74576.3333333,1,290.5,36,509,0,0,0,0,0,0,0,0,dns
303,2,2,66,630,33,0,315,277.185858225,2297029.70297,13201.320132,101,88.6115116675,89,89,0,19,19,0,16,16,6600.66006601,6600.66006601,145.8,207.521565144,43065.2,1,182.25,33,315,696,4,2297029,1,0,0,0,0,dns
852,2,2,66,630,33,0,315,277.185858225,816901.408451,4694.83568075,284,131.411567223,705,705,0,556,556,0,16,16,2347.41784038,2347.41784038,145.8,207.521565144,43065.2,1,182.25,33,315,696,4,816901,1,0,0,0,0,dns
50307,1,1,34,383,34,0,383,0,8289.10489594,39.7558987815,50307,0,0,0,0,0,0,0,8,8,19.8779493907,19.8779493907,150.333333333,201.495243947,40600.3333333,1,225.5,34,383,0,0,0,0,0,0,0,0,dns
29632,1,1,35,383,35,0,383,0,14106.3714903,67.494600432,29632,0,0,0,0,0,0,0,8,8,33.747300216,33.747300216,151,200.917893678,40368,1,226.5,35,383,0,0,0,0,0,0,0,0,dns
209,2,2,92,599,46,0,299.5,177.483802078,3306220.09569,19138.7559809,0.0696666666667,64.4541180479,44,44,0,22,22,0,16,16,9569.37799043,9569.37799043,147.4,164.784101175,27153.8,1,184.25,46,299.5,691,4,3306220,1,0,0,0,0,dns
217190,1,1,40,361,40,0,361,0,1846.30968277,9.20852709609,217.19,0,0,0,0,0,0,0,8,8,4.60426354805,4.60426354805,147,185.32943641,34347,1,220.5,40,361,0,0,0,0,0,0,0,0,dns
142139,1,1,47,311,47,0,311,0,2518.66131041,14.0707335777,142139,0,0,0,0,0,0,0,8,8,7.03536678885,7.03536678885,135,152.420471066,23232,1,202.5,47,311,0,0,0,0,0,0,0,0,dns
465,1,1,36,509,36,0,509,0,1172043.01075,4301.07526882,465,0,0,0,0,0,0,0,8,8,2150.53763441,2150.53763441,193.666666667,273.086677327,74576.3333333,1,290.5,36,509,0,0,0,0,0,0,0,0,dns
359,2,2,92,599,46,0,299.5,177.483802078,1924791.08635,11142.0612813,0.119666666667,136.785720502,61,61,0,22,22,0,16,16,5571.03064067,5571.03064067,147.4,164.784101175,27153.8,1,184.25,46,299.5,691,4,1924791,1,0,0,0,0,dns
412,1,1,36,509,36,0,509,0,1322815.53398,4854.36893204,412,0,0,0,0,0,0,0,8,8,2427.18446602,2427.18446602,193.666666667,273.086677327,74576.3333333,1,290.5,36,509,0,0,0,0,0,0,0,0,dns
376,1,1,33,297,33,0,297,0,877659.574468,5319.14893617,376,0,0,0,0,0,0,0,8,8,2659.57446809,2659.57446809,121,152.420471066,23232,1,181.5,33,297,0,0,0,0,0,0,0,0,dns
343,2,2,92,599,46,0,299.5,177.483802078,2014577.25948,11661.8075802,0.114333333333,124.717013007,60,0.06,0,26,26,0,16,16,5830.90379009,5830.90379009,147.4,164.784101175,27153.8,1,184.25,46,299.5,691,4,2014577,1,0,0,0,0,dns
320,2,2,92,599,46,0,299.5,177.483802078,2159375,12500,0.106666666667,128.360170354,47,47,0,19,19,0,16,16,6250,6250,147.4,164.784101175,27153.8,1,184.25,46,299.5,691,4,2159375,1,0,0,0,0,dns
351,2,2,92,599,46,0,299.5,177.483802078,1968660.96866,11396.011396,117,119.778963095,56,56,0,40,0.04,0,16,16,5698.00569801,5698.00569801,147.4,164.784101175,27153.8,1,184.25,46,299.5,691,4,1968660,1,0,0,0,0,dns
311,2,2,92,599,46,0,299.5,177.483802078,2221864.95177,12861.7363344,0.103666666667,125.723241023,45,45,0,18,18,0,16,16,6430.8681672,6430.8681672,147.4,164.784101175,27153.8,1,184.25,46,299.5,691,4,2221864,1,0,0,0,0,dns
74636,1,1,36,300,36,0,300,0,4501.84897369,26.7967200815,74636,0,0,0,0,0,0,0,8,8,13.3983600407,13.3983600407,124,152.420471066,23232,1,186,36,300,0,0,0,0,0,0,0,0,dns
25124,2,2,92,599,46,0,299.5,177.483802078,27503.5822321,159.210316829,8.37466666667,14244.248816,39,39,0,24822,24822,0,16,16,79.6051584143,79.6051584143,147.4,164.784101175,27153.8,1,184.25,46,299.5,691,4,27503,1,0,0,0,0,dns
224,1,1,28,121,28,0,121,0,665178.571429,8928.57142857,224,0,0,0,0,0,0,0,8,8,4464.28571429,4464.28571429,59,53.6935750346,2883,1,88.5,28,121,0,0,0,0,0,0,0,0,dns
314,1,1,32,296,32,0,296,0,1044585.98726,6369.42675159,314,0,0,0,0,0,0,0,8,8,3184.7133758,3184.7133758,120,152.420471066,23232,1,180,32,296,0,0,0,0,0,0,0,0,dns
181452,1,1,33,360,33,0,360,0,2165.86204616,11.0221987082,181452,0,0,0,0,0,0,0,8,8,5.5110993541,5.5110993541,142,188.793538025,35643,1,213,33,360,0,0,0,0,0,0,0,0,dns
2921,1,1,37,321,37,0,321,0,122560.766861,684.697021568,2921,0,0,0,0,0,0,0,8,8,342.348510784,342.348510784,131.666666667,163.96747645,26885.3333333,1,197.5,37,321,0,0,0,0,0,0,0,0,dns
353,2,2,92,599,46,0,299.5,177.483802078,1957507.08215,11331.4447592,0.117666666667,92.2297854998,47,47,0,84,84,0,16,16,5665.7223796,5665.7223796,147.4,164.784101175,27153.8,1,184.25,46,299.5,691,4,1957507,1,0,0,0,0,dns
211,2,2,92,599,46,0,299.5,177.483802078,3274881.51659,18957.3459716,0.0703333333333,28.9194283023,48,48,0,60,0.06,0,16,16,9478.67298578,9478.67298578,147.4,164.784101175,27153.8,1,184.25,46,299.5,691,4,3274881,1,0,0,0,0,dns
22975,1,1,31,488,31,0,488,0,22589.7714908,87.0511425462,22975,0,0,0,0,0,0,0,8,8,43.5255712731,43.5255712731,183.333333333,263.84907302,69616.3333333,1,275,31,488,0,0,0,0,0,0,0,0,dns
1722,1,1,33,499,33,0,499,0,308943.089431,1161.44018583,1722,0,0,0,0,0,0,0,8,8,580.720092915,580.720092915,188.333333333,269.045225442,72385.3333333,1,282.5,33,499,0,0,0,0,0,0,0,0,dns
25119,1,1,41,509,41,0,509,0,21895.7761057,79.6210040209,25119,0,0,0,0,0,0,0,8,8,39.8105020104,39.8105020104,197,270.199925981,73008,1,295.5,41,509,0,0,0,0,0,0,0,0,dns
