Fwd Packet Length Mean,Fwd Packet Length Std,Bwd IAT Total,Packet Length Mean,Label,NormFwd_Packet_Length_Mean,NormPacket_Length_Mean,NormFwd_Packet_Length_Std,NormBwd_IAT_Total
200.531884058,365.967044801,308168.0,1278.78055206,video,1.33687922705,8.52520368037,5.08406734019,0.000256851845558
70.9445205479,186.065967788,117893.0,889.42079945,video,0.47296347032,5.92947199633,2.58485544911,9.82614503399e-05
270.936102236,422.201888094,245034.0,1259.90166123,video,1.80624068158,8.39934440819,5.86528995089,0.000204230923147
52.522875817,92.3440797224,124530.0,950.462385618,video,0.350152505447,6.33641590412,1.28285736775,0.000103793256689
148.200507614,309.478485621,213673.0,1273.66706174,video,0.988003384095,8.49111374493,4.29932007154,0.000178092158809
36.0,0.0,0.0,193.666666667,dns,0.24,1.29111111111,0.0,0.0
46.0,0.0,15.0,147.4,dns,0.306666666667,0.982666666667,0.0,1.25021990712e-08
46.0,0.0,182065.0,147.4,dns,0.306666666667,0.982666666667,0.0,0.000151747524926
33.0,0.0,0.0,123.333333333,dns,0.22,0.822222222222,0.0,0.0
40.0,0.0,0.0,102.5,dns,0.266666666667,0.683333333333,0.0,0.0
32.0,0.0,0.0,99.75,dns,0.213333333333,0.665,0.0,0.0
34.0,0.0,3905.0,166.0,dns,0.226666666667,1.10666666667,0.0,3.2547391582e-06
52.0,0.0,0.0,134.0,dns,0.346666666667,0.893333333333,0.0,0.0
29.0,0.0,0.0,153.0,dns,0.193333333333,1.02,0.0,0.0
46.0,0.0,22.0,147.4,dns,0.306666666667,0.982666666667,0.0,1.83365586377e-08
46.0,0.0,25.0,147.4,dns,0.306666666667,0.982666666667,0.0,2.0836998452e-08
36.0,0.0,0.0,193.666666667,dns,0.24,1.29111111111,0.0,0.0
36.0,0.0,0.0,193.666666667,dns,0.24,1.29111111111,0.0,0.0
46.0,0.0,24884.0,147.4,dns,0.306666666667,0.982666666667,0.0,2.07403147791e-05
35.0,0.0,0.0,135.0,dns,0.233333333333,0.9,0.0,0.0
49.0,0.0,0.0,125.25,dns,0.326666666667,0.835,0.0,0.0
34.0,0.0,25.0,144.0,dns,0.226666666667,0.96,0.0,2.0836998452e-08
46.0,0.0,30.0,147.4,dns,0.306666666667,0.982666666667,0.0,2.50043981424e-08
46.0,0.0,16.0,147.4,dns,0.306666666667,0.982666666667,0.0,1.33356790093e-08
36.0,0.0,0.0,36.0,dns,0.24,0.24,0.0,0.0
46.0,0.0,11809.0,147.4,dns,0.306666666667,0.982666666667,0.0,9.84256458877e-06
37.0,0.0,0.0,133.0,dns,0.246666666667,0.886666666667,0.0,0.0
46.0,0.0,10.0,147.4,dns,0.306666666667,0.982666666667,0.0,8.33479938079e-09
46.0,0.0,17.0,147.4,dns,0.306666666667,0.982666666667,0.0,1.41691589473e-08
18.0,0.0,0.0,18.0,dns,0.12,0.12,0.0,0.0
28.0,0.0,0.0,116.0,dns,0.186666666667,0.773333333333,0.0,0.0
46.0,0.0,90.0,147.4,dns,0.306666666667,0.982666666667,0.0,7.50131944271e-08
47.0,0.0,0.0,137.333333333,dns,0.313333333333,0.915555555556,0.0,0.0
31.0,0.0,0.0,183.333333333,dns,0.206666666667,1.22222222222,0.0,0.0
46.0,0.0,16.0,147.4,dns,0.306666666667,0.982666666667,0.0,1.33356790093e-08
46.0,0.0,24631.0,147.4,dns,0.306666666667,0.982666666667,0.0,2.05294443548e-05
46.0,0.0,42.0,147.4,dns,0.306666666667,0.982666666667,0.0,3.50061573993e-08
37.0,0.0,0.0,133.0,dns,0.246666666667,0.886666666667,0.0,0.0
35.0,0.0,0.0,125.333333333,dns,0.233333333333,0.835555555556,0.0,0.0
46.0,0.0,25.0,147.4,dns,0.306666666667,0.982666666667,0.0,2.0836998452e-08
46.0,0.0,20140.0,147.4,dns,0.306666666667,0.982666666667,0.0,1.67862859529e-05
28.0,0.0,0.0,59.0,dns,0.186666666667,0.393333333333,0.0,0.0
28.0,0.0,0.0,59.0,dns,0.186666666667,0.393333333333,0.0,0.0
34.0,0.0,0.0,121.25,dns,0.226666666667,0.808333333333,0.0,0.0
52.0,0.0,0.0,134.0,dns,0.346666666667,0.893333333333,0.0,0.0
