@ATTRIBUTE Fwd_Segment_Size_Avg NUMERIC
@ATTRIBUTE Bwd_Segment_Size_Avg NUMERIC
@ATTRIBUTE Bwd_Bytes/Bulk_Avg NUMERIC
@ATTRIBUTE Bwd_Packet/Bulk_Avg NUMERIC
@ATTRIBUTE Bwd_Bulk_Rate_Avg NUMERIC
@ATTRIBUTE Fwd_Act_Data_Pkts NUMERIC
@ATTRIBUTE Active_Mean NUMERIC
@ATTRIBUTE Active_Std NUMERIC
@ATTRIBUTE Idle_Mean NUMERIC
@ATTRIBUTE Idle_Std NUMERIC
@ATTRIBUTE class {video,http,dns,ftp,ssh}
@DATA

9,1,1,49.0,154.0,49.0,0.0,154.0,0.0,2.2555555555555556E7,222222.22222222222,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,111111.111111,111111.111111,84.0,60.6217782649,3675.0,1.0,126.0,49.0,154.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
199,1,1,37.0,53.0,37.0,0.0,53.0,0.0,452261.3065326633,10050.251256281406,0.199,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,5025.12562814,5025.12562814,42.3333333333,9.23760430703,85.3333333333,1.0,63.5,37.0,53.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
54963,1,1,61.0,118.0,61.0,0.0,118.0,0.0,3256.7363499081202,36.38811564143151,54.963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,18.1940578207,18.1940578207,80.0,32.9089653438,1083.0,1.0,120.0,61.0,118.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
0,1,1,40.0,96.0,40.0,0.0,96.0,0.0,Infinity,Infinity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,0.0,0.0,58.6666666667,32.3316150746,1045.33333333,1.0,88.0,40.0,96.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
21381,1,1,53.0,110.0,53.0,0.0,110.0,0.0,7623.591038772742,93.54099434076984,21.381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,46.7704971704,46.7704971704,72.0,32.9089653438,1083.0,1.0,108.0,53.0,110.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
11,1,1,36.0,319.0,36.0,0.0,319.0,0.0,3.2272727272727273E7,181818.18181818182,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,90909.0909091,90909.0909091,130.333333333,163.390126181,26696.3333333,1.0,195.5,36.0,319.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
6,1,1,47.0,75.0,47.0,0.0,75.0,0.0,2.0333333333333332E7,333333.3333333333,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,166666.666667,166666.666667,56.3333333333,16.1658075373,261.333333333,1.0,84.5,47.0,75.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
929,1,1,28.0,107.0,28.0,0.0,107.0,0.0,145317.54574811624,2152.8525296017224,0.929,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,1076.4262648,1076.4262648,54.3333333333,45.610671266,2080.33333333,1.0,81.5,28.0,107.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
1,1,1,37.0,37.0,37.0,0.0,37.0,0.0,7.4E7,2000000.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,1000000.0,1000000.0,37.0,0.0,0.0,1.0,55.5,37.0,37.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
42,1,1,35.0,99.0,35.0,0.0,99.0,0.0,3190476.1904761908,47619.04761904762,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,23809.5238095,23809.5238095,56.3333333333,36.9504172281,1365.33333333,1.0,84.5,35.0,99.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
21138,1,1,42.0,93.0,42.0,0.0,93.0,0.0,6386.602327561737,94.6163307786924,21.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,47.3081653893,47.3081653893,59.0,29.4448637287,867.0,1.0,88.5,42.0,93.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
418,2,0,96.0,0.0,48.0,0.0,0.0,0.0,229665.0717703349,4784.688995215311,0.418,0.0,418.0,0.418,0.0,0.0,0.0,0.0,16,0,4784.68899522,0.0,48.0,0.0,0.0,0.0,72.0,48.0,0.0,0,0,0,1,0.0,0.0,0.0,0.0,dns
1,1,1,31.0,31.0,31.0,0.0,31.0,0.0,6.2E7,2000000.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,1000000.0,1000000.0,31.0,0.0,0.0,1.0,46.5,31.0,31.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
8,1,1,33.0,76.0,33.0,0.0,76.0,0.0,1.3625E7,250000.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,125000.0,125000.0,47.3333333333,24.8260615752,616.333333333,1.0,71.0,33.0,76.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
22625,1,1,49.0,65.0,49.0,0.0,65.0,0.0,5038.674033149171,88.39779005524862,22.625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,44.1988950276,44.1988950276,54.3333333333,9.23760430703,85.3333333333,1.0,81.5,49.0,65.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
20805,1,1,41.0,57.0,41.0,0.0,57.0,0.0,4710.406152367219,96.13073780341264,20.805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,48.0653689017,48.0653689017,46.3333333333,9.23760430703,85.3333333333,1.0,69.5,41.0,57.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
8,1,1,33.0,88.0,33.0,0.0,88.0,0.0,1.5125E7,250000.0,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,125000.0,125000.0,51.3333333333,31.7542648054,1008.33333333,1.0,77.0,33.0,88.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
173,1,1,40.0,96.0,40.0,0.0,96.0,0.0,786127.1676300578,11560.693641618496,0.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,5780.34682081,5780.34682081,58.6666666667,32.3316150746,1045.33333333,1.0,88.0,40.0,96.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
21851,1,1,61.0,106.0,61.0,0.0,106.0,0.0,7642.670815980962,91.52899180815524,21.851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,45.7644959041,45.7644959041,76.0,25.9807621135,675.0,1.0,114.0,61.0,106.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
21696,1,1,58.0,122.0,58.0,0.0,122.0,0.0,8296.46017699115,92.18289085545723,21.696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,46.0914454277,46.0914454277,79.3333333333,36.9504172281,1365.33333333,1.0,119.0,58.0,122.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
21870,1,1,56.0,72.0,56.0,0.0,72.0,0.0,5852.766346593507,91.44947416552354,21.87,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,45.7247370828,45.7247370828,61.3333333333,9.23760430703,85.3333333333,1.0,92.0,56.0,72.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
2,1,1,41.0,69.0,41.0,0.0,69.0,0.0,5.5E7,1000000.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,500000.0,500000.0,50.3333333333,16.1658075373,261.333333333,1.0,75.5,41.0,69.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
2,1,1,45.0,73.0,45.0,0.0,73.0,0.0,5.9E7,1000000.0,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1,-1,500000.0,500000.0,54.3333333333,16.1658075373,261.333333333,1.0,81.5,45.0,73.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
28391,1,1,61.0,106.0,61.0,0.0,106.0,0.0,5882.145750413863,70.44485928639358,28.391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,35.2224296432,35.2224296432,76.0,25.9807621135,675.0,1.0,114.0,61.0,106.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
22727,1,1,56.0,84.0,56.0,0.0,84.0,0.0,6160.07392088705,88.00105601267215,22.727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,44.0005280063,44.0005280063,65.3333333333,16.1658075373,261.333333333,1.0,98.0,56.0,84.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
85136,1,1,55.0,119.0,55.0,0.0,119.0,0.0,2043.7887615109942,23.491824844953957,85.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,8,11.7459124225,11.7459124225,76.3333333333,36.9504172281,1365.33333333,1.0,114.5,55.0,119.0,0,0,0,0,0.0,0.0,0.0,0.0,dns
