Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,CWR Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Fwd Bytes/Bulk Avg,Fwd Packet/Bulk Avg,Fwd Bulk Rate Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.254.200-200.130.99.22-51607-443-6,192.168.254.200,51607,200.130.99.22,443,6,13/12/2021 09:27:15 PM,65326573,28,40,3695.0,188330.0,3039.0,0.0,131.96428571428578,579.722314250721,28240.0,0.0,4708.249999999999,7398.080283736814,2939.4623226294148,1.0409240356141138,975023.4776119404,2912214.543205151,1.0050008E7,0.0,6.5326288E7,2419492.1481481483,4249449.157867185,1.0050008E7,0.0,6.5284619E7,1673964.5897435895,3694416.4877498066,1.0087173E7,0.0,0,0,0,0,644,884,0.4286157793705174,0.6123082562435963,0.0,28240.0,2782.971014492754,6059.021603630831,3.671174279326513E7,2,2,0,11,67,0,0,0,1.0,2823.8970588235293,131.96428571428572,4708.25,0,0,0,191957,32,683982,4,527,5,26904,64240,286,10,20,85061.5,116375.85924194072,322611.0,37163.0,1.0009259333333334E7,19972.008548632908,1.0050008E7,1.0000502E7,NeedManualLabel
192.168.254.200-200.130.99.22-51607-443-6,192.168.254.200,51607,200.130.99.22,443,6,13/12/2021 09:28:20 PM,37293,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.62936744161102,37293.0,0.0,37293.0,37293.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,20,26.81468372080551,26.81468372080551,0.0,0.0,0.0,0.0,0.0,0,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1025,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.254.200-200.130.99.22-51607-443-6,192.168.254.200,51607,200.130.99.22,443,6,13/12/2021 09:28:20 PM,1477,1,1,31.0,0.0,31.0,31.0,31.0,0.0,0.0,0.0,0.0,0.0,20988.49018280298,1354.0961408259986,1477.0,0.0,1477.0,1477.0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,20,20,677.0480704129993,677.0480704129993,0.0,31.0,20.666666666666664,17.8978583448784,320.33333333333337,1,0,1,1,2,0,0,0,1.0,31.0,31.0,0.0,0,0,0,0,0,0,0,0,0,0,1025,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.254.93-142.251.128.98-36764-443-6,192.168.254.93,36764,142.251.128.98,443,6,13/12/2021 09:29:01 PM,199314,22,9,1584.0,5173.0,517.0,0.0,72.0,154.27433820493746,1400.0,0.0,574.7777777777778,650.8509387290184,33901.281395185484,155.5334798358369,6643.8,13715.653924596898,51190.0,-1.0,199314.0,9491.142857142855,19465.84698461825,76690.0,-1.0,173221.0,21652.625,29279.508489910044,67136.0,92.0,0,0,0,0,756,296,110.37859859317459,45.154881242662334,0.0,1400.0,211.15625,423.0937598654661,179008.3296370967,1,3,1,12,28,0,0,0,0.0,217.96774193548387,72.0,574.7777777777778,0,0,0,6757,14,51242,0,0,0,0,64240,265,8,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.254.93-142.251.128.98-36764-443-6,192.168.254.93,36764,142.251.128.98,443,6,13/12/2021 09:29:01 PM,24738,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.84727948904519,24738.0,0.0,24738.0,24738.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,32,40.423639744522596,40.423639744522596,0.0,0.0,0.0,0.0,0.0,1,0,1,0,1,0,0,0,1.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,265,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.254.93-142.251.128.98-36764-443-6,192.168.254.93,36764,142.251.128.98,443,6,13/12/2021 09:29:01 PM,157,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19108.28025477707,78.5,91.21677477306463,143.0,14.0,157.0,157.0,0.0,157.0,157.0,0,0,0,0,0,0,0,0,0,40,32,12738.853503184713,6369.426751592357,0.0,0.0,0.0,0.0,0.0,0,0,2,0,1,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,265,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.254.93-142.251.128.98-36764-443-6,192.168.254.93,36764,142.251.128.98,443,6,13/12/2021 09:29:01 PM,2,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,1000000.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,0,0,0,0,0,0,0,0,0,40,0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.254.200-176.9.143.27-51615-443-6,192.168.254.200,51615,176.9.143.27,443,6,13/12/2021 09:29:04 PM,1241382,6,8,1110.0,5589.0,517.0,0.0,185.0,243.2710422553412,4236.0,0.0,698.625,1456.7690215483226,5396.404974455889,11.277753342645536,95490.92307692308,115054.00290766473,236004.0,1.0,1006075.0,201215.0,113363.853930607,290794.0,2708.0,1007234.0,143890.57142857142,130200.73136361044,273343.0,1.0,0,0,0,0,132,172,4.833322861133801,6.444430481511734,0.0,4236.0,446.6,1078.0050225167915,1162094.8285714283,1,2,0,7,13,0,0,0,1.0,478.5,185.0,698.625,0,0,0,6699,8,6668,0,0,0,0,64240,63,3,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.254.200-176.9.143.27-51617-443-6,192.168.254.200,51617,176.9.143.27,443,6,13/12/2021 09:29:07 PM,716513,5,6,1094.0,959.0,581.0,0.0,218.8,280.28503349269295,822.0,0.0,159.83333333333334,328.99022275238923,2865.265529027387,15.352128991379082,71651.3,112859.52179496815,237045.0,7.0,482874.0,120718.5,133963.24075033917,237052.0,1543.0,479468.0,95893.6,130963.64614770008,241584.0,10.0,0,0,0,0,112,132,6.978240450626855,8.373888540752226,0.0,822.0,171.08333333333334,285.5337771241572,81529.53787878787,1,2,0,5,10,0,0,0,1.0,186.63636363636363,218.8,159.83333333333334,0,0,0,2053,5,4298,0,0,0,0,64240,64,3,20,0,0,0,0,0,0,0,0,NeedManualLabel
192.168.254.200-176.9.143.27-51617-443-6,192.168.254.200,51617,176.9.143.27,443,6,13/12/2021 09:29:08 PM,936453,3,3,31.0,31.0,31.0,0.0,10.333333333333332,17.8978583448784,31.0,0.0,10.333333333333334,17.8978583448784,66.20727361650825,6.407155511274992,187290.6,302910.7812711525,698280.0,7.0,4064.0,2032.0,2863.7824638055176,4057.0,7.0,698301.0,349150.5,493743.6739245375,698280.0,21.0,0,0,0,0,60,84,3.203577755637496,3.203577755637496,0.0,31.0,8.857142857142858,15.126451130702264,228.80952380952382,2,0,0,2,6,0,0,0,1.0,10.333333333333334,10.333333333333334,10.333333333333334,0,0,0,0,0,0,0,0,0,0,1022,64,1,20,0,0,0,0,0,0,0,0,NeedManualLabel
