Fwd Packet Length Std,Bwd IAT Total,Packet Length Mean,Label
347.210590973,277816.0,1305.02562875,vod
347.210590973,277816.0,1305.02562875,vod
267.975485767,138080.0,1276.88323213,vod
267.975485767,138080.0,1276.88323213,vod
266.23625659,262001.0,1263.52026587,vod
266.23625659,262001.0,1263.52026587,vod
244.250498223,80150.0,1278.8559824,vod
244.250498223,80150.0,1278.8559824,vod
367.655826449,288077.0,1301.30359077,vod
367.655826449,288077.0,1301.30359077,vod
369.039184414,143469.0,1286.06214237,vod
369.039184414,143469.0,1286.06214237,vod
279.306283192,161570.0,1304.41743675,vod
279.306283192,161570.0,1304.41743675,vod
259.178419866,209827.0,1241.77031881,vod
259.178419866,209827.0,1241.77031881,vod
292.562889747,67088.0,1314.12674271,vod
292.562889747,67088.0,1314.12674271,vod
470.648412907,161849.0,397.894736842,quic
406.664890707,1762197.0,327.611111111,quic
11.0782341881,140068958.0,44.28,quic
151.769283623,378589276.0,946.446709485,quic
586.029822092,130831.0,535.714285714,quic
14.9631491783,0.0,41.4705882353,quic
10.6151457212,400175.0,41.7419354839,quic
4.46414285486,0.0,30.6666666667,quic
191.756319612,18084793.0,953.311827957,quic
9.01456253305,0.0,50.6666666667,quic
3.68272996566,0.0,31.2352941176,quic
534.401305585,337611.0,711.244897959,quic
4.93433065852,0.0,27.5454545455,quic
372.090778371,3909713.0,364.402985075,quic
15.2014791162,0.0,36.6315789474,quic
15.3908670282,0.0,35.4615384615,quic
486.942595086,293142.0,386.636363636,quic
13.4439174446,0.0,32.4333333333,quic
415.10432609,10693945.0,270.672727273,quic
15.0111069989,0.0,38.0769230769,quic
534.771633503,68030.0,516.916666667,quic
597.358583916,124053.0,620.894736842,quic
14.8781818149,0.0,35.9444444444,quic
15.0380469857,0.0,36125,quic
7.04069801734,0.0,25875,quic
6.82408610344,0.0,51675,quic
461.475719064,225907.0,427.947368421,quic
5.61476989962,0.0,27.2142857143,quic
13.6752939492,0.0,36.7464788732,quic
564.565400028,318430.0,458.4,quic
14.5022684251,0.0,37.45,quic
12.2594501364,0.0,47.2222222222,quic
534.089904081,1027096.0,479.777777778,quic
507.743034309,237774.0,546.5,quic
3.85971966565,0.0,28.7857142857,quic
4.98855833741,0.0,27375,quic
9.50788033537,0.0,36.8888888889,quic
566.287363251,266126.0,557.52173913,quic
6.14410286372,0.0,28.2,quic
14.7379017206,0.0,42.2580645161,quic
13.8960215603,0.0,33.2,quic
14.2296553643,0.0,41.2553191489,quic
602.296630216,820021.0,599.285714286,quic
547.580944618,292742.0,501.318181818,quic
606.5,806957.0,777.285714286,quic
526.753447492,560115.0,542.571428571,quic
13.3632676796,0.0,44.0,quic
609.384173924,151050.0,517.0,quic
417.776299725,13231936.0,697.45,quic
392.266753476,13558868.0,433.302325581,quic
13.4678898856,0.0,33.12,quic
749.379020701,18419115.0,1197.35294118,quic
13.4247746541,0.0,42.3122171946,quic
5.78556196689,0.0,26.75,quic
14.8447851806,0.0,33.7777777778,quic
14.8447851806,0.0,33.7777777778,quic
14.5836834692,0.0,34.2222222222,quic
320.807540469,420780.0,349.814814815,quic
11.2408120639,0.0,31.4473684211,quic
447.109391192,643524.0,391.307692308,quic
230.613487561,522783691.0,362.077777778,quic
396.445703313,47923780.0,188.641975309,quic
83.5143416048,23196044.0,1050.6669958,quic
13.7729606274,0.0,34.7,quic
13.7729606274,0.0,34.7,quic
6.73300329224,0.0,26125,quic
4.88829056168,0.0,29.7777777778,quic
4.74709213318,0.0,29.2888888889,quic
277.483924888,25316307.0,195.622222222,quic
5.60843520552,0.0,26.6666666667,quic
5.60843520552,0.0,26.6666666667,quic
5.60843520552,0.0,26.6666666667,quic
5.60843520552,0.0,26.6666666667,quic
5.60843520552,0.0,26.6666666667,quic
5.60843520552,0.0,26.6666666667,quic
5.60843520552,0.0,26.6666666667,quic
5.60843520552,0.0,26.6666666667,quic
5.60843520552,0.0,26.6666666667,quic
5.60843520552,0.0,26.6666666667,quic
5.60843520552,0.0,26.6666666667,quic
5.60843520552,0.0,26.6666666667,quic
584.232354842,305920.0,757.6875,quic
14.4783696736,0.0,35.16,quic
16.6476081508,0.0,36.6666666667,quic
16.6476081508,0.0,36.6666666667,quic
346.540153579,5865653.0,290.758064516,quic
421.920701361,55468121.0,498.883408072,quic
562.521909826,3731536.0,445.795180723,quic
549.730100443,3722034.0,389.393939394,quic
14.4029318003,0.0,36.0,quic
77.4717592138,27544018.0,1126.86880879,quic
15.4990251377,0.0,38.0,quic
589.299429986,250659.0,503.47826087,quic
8.64604894847,0.0,50.8545454545,quic
495.798903166,7236627.0,439.84375,quic
580.890121566,46789.0,484.5,quic
1.04184218645,0.0,33.8624454148,quic
463.948248325,7146784.0,472.416666667,quic
591.535471705,267168.0,489.777777778,quic
0.555825856713,0.0,33.9565667011,quic
326.203835645,900789.0,1103.2635468,quic
257.387429981,443982.0,750.747826087,quic
13.8716891136,0.0,43.2653061224,quic
0.0,40246165.0,37.7142857143,quic
551.568541897,2364818.0,844.00877193,quic
485.895462008,130959.0,546.052631579,quic
3.97228056349,0.0,53.3761682243,quic
