Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Mean,Packet Length Std,Packet Length Variance,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Fwd Act Data Pkts,Active Mean,Active Std,Idle Mean,Idle Std,Label
295780,7176,22681,512136,29856223,71.3678929766,193.397290989,1316.35390856,155.08307755,102672117.79025,100943.268645615,9.906886388,173.877609204,295595,41.1979094077,363.19846085,295620,13.0343915344,207.465582359,93744,295517,24261.2752722,76681.9933735,1017.13098667,557.005243212,310254.840966,3,1017.16505342,71.3678929766,1316.35390856,30368359,29857,102672117,7175,0,0,0,0,live
297178,4958,14588,433672,18951738,87.4691407826,229.291940952,1299.13202632,202.621432642,65231645.6803667,65772.0288850453,15.2048094142,223.590612346,297178,59.9511801493,441.646334415,297139,20.3701240831,261.41271143,84496,241320,16683.6037661,49088.425119,991.788049317,567.373193208,321912.340371,2,991.838790545,87.4691407826,1299.13202632,19385410,19546,65231645,4957,0,0,0,0,live
289975,4534,13254,415252,17235783,91.586237318,238.795059564,1300.42123133,202.621003112,60870885.421157,61343.2192430382,16.3026367572,267.680286218,289975,63.9697771895,527.890505589,289936,21.8770089791,312.769570483,69192,200172,15635.8306751,45707.388568,992.305357243,568.02221541,322649.237199,2,992.361142343,91.586237318,1300.42123133,17651035,17788,60870885,4533,0,0,0,0,live
295719,2758,8334,229186,10864971,83.09862219,222.322803127,1303.69222462,182.543255883,37515874.8676953,37508.5807810793,26.6629699757,328.32624368,295719,107.261153428,652.39914556,295679,35.482899316,382.096402971,56696,169404,9326.42136623,28182.1594148,1000.20580546,561.833701471,315657.108109,3,1000.29597908,83.09862219,1303.69222462,11094157,11092,37515874,2757,0,0,0,0,live
295689,1562,19867,314778,25051040,201.52240717,386.637497652,1260.9372326,248.504105565,85785463.7812026,72471.4142223756,13.7991879783,244.529974309,295648,189.396540679,896.392830246,295649,14.8821604752,256.126883153,19696,253772,5282.5773025,67188.8369199,1183.71269249,379.456421589,143987.175885,12,1183.76793131,201.52240717,1260.9372326,25365818,21429,85785463,1561,0,0,0,0,live
297610,4588,13991,419260,18257852,91.3818657367,237.701224278,1304.97119577,192.293067186,62757004.1329256,62427.3377910689,16.0194854129,268.653679948,297593,64.8774798343,540.240337793,297571,21.2702644746,312.022850122,67886,207448,15416.1486509,47011.1891401,1005.28729817,561.854768707,315680.781119,3,1005.34140696,91.3818657367,1304.97119577,18677112,18579,62757004,4587,0,0,0,0,live
297131,3506,9508,457866,12098905,130.594980034,305.661958336,1272.49737064,271.180720486,42260050.2808526,43798.8631277114,22.8333973719,250.958595452,297131,84.7734664765,499.634963818,293193,30.8396970653,304.398619297,61852,168296,11799.5093073,31999.3538204,964.879600461,579.253525289,335534.64656,2,964.953742124,130.594980034,1272.49737064,12556771,13014,42260050,3505,0,0,0,0,live
296769,7672,23659,538130,31143472,70.1420750782,187.038081131,1316.34777463,154.812265742,106755092.344551,105573.695365756,9.47235876157,161.297713049,296612,38.6666666667,337.466617919,296608,12.5373235269,193.424912874,119278,367688,25851.7567536,79721.9386122,1011.19430614,560.206189701,313830.974979,3,1011.2265807,70.1420750782,1316.34777463,31681602,31331,106755092,7671,0,0,0,0,live
296649,4970,14408,430976,18733872,86.7154929577,228.065343062,1300.24097723,200.012816506,64604458.4677515,65322.9911444165,15.3093358105,233.346627858,296649,59.6999396257,458.570536689,296589,20.5864510307,273.29718155,96176,281780,16753.8066874,48569.1844571,989.004540998,569.129506773,323908.395479,2,989.055578491,86.7154929577,1300.24097723,19164848,19378,64604458,4969,0,0,0,0,live
295043,2920,8849,234928,11575928,80.4547945205,216.272099713,1308.16227822,173.815938406,40030964.9779863,39889.1009107147,25.0716349422,321.939571193,295043,101.076738609,640.896582405,295004,33.3413200723,374.593196357,41216,125332,9896.86249123,29992.2384195,1003.56686491,561.692041227,315497.949178,3,1003.65213697,80.4547945205,1308.16227822,11810856,11769,40030964,2919,0,0,0,0,live
293865,1526,19503,292498,24621201,191.676277851,377.316813511,1262.43147208,245.632954344,84779402.1064094,71560.0701002161,13.9749381777,227.203298899,293852,192.689836066,831.56907244,293826,15.0664547226,238.210361214,21940,263132,5192.86066731,66367.2094329,1184.72867332,378.734746075,143440.007885,12,1184.78501118,191.676277851,1262.43147208,24913699,21029,84779402,1525,0,0,0,0,live
212101,582,12946,57898,17229909,99.4810996564,265.422305963,1330.90599413,85.3589655558,81507428.0649313,63780.934554764,15.6798255341,580.447065353,211938,364.78141136,2786.67663307,211938,16.3721900348,597.919988363,11404,147588,2743.9757474,61036.9588074,1277.93214576,269.12831585,72430.0503925,22,1278.02661147,99.4810996564,1330.90599413,17287807,13528,81507428,581,0,0,0,0,live
298681,5242,15687,543534,20143345,103.688286913,258.026980488,1284.0788551,246.894568185,69260779.8956077,70071.4139834807,14.2718367737,173.369430016,298667,56.9866437703,362.529138883,298521,19.0310467933,201.656130311,140524,421712,17550.4970186,52520.9169649,988.427233636,569.149496861,323931.149777,2,988.474461274,103.688286913,1284.0788551,20686879,20929,69260779,5241,0,0,0,0,live
79399,2476,7841,119636,10438592,48.3182552504,131.255243997,1331.28325469,81.6151073726,132976838.499225,129938.664214915,7.69668476154,263.436640928,79399,32.0804040404,537.243148007,79234,10.106377551,307.017469216,69788,222392,31184.2718422,98754.3923727,1023.41199845,556.262379803,309427.835184,3,1023.51119511,48.3182552504,1331.28325469,10558228,10317,132976838,2475,0,0,0,0,live
298589,11710,51576,1059990,67501755,90.5200683177,238.431852517,1308.78228246,172.190047879,229619125.285928,211950.205801285,4.71816386189,91.1664618454,298589,25.5008113417,210.915599866,298566,5.78896752302,101.674502631,317544,1408132,39217.7876613,172732.41814,1083.36369239,508.415710219,258486.534398,4,1083.38081092,90.5200683177,1308.78228246,68561745,63286,229619125,11709,0,0,0,0,live
293249,9108,29905,466950,39750629,51.268115942,136.233741377,1329.23019562,95.4784576711,137144812.088021,133037.111806008,7.51689223829,168.057877387,293249,32.2003953003,349.97295639,293074,9.80049491707,199.01533818,230988,750848,31058.9294422,101978.182364,1030.8794279,550.990349864,303590.365643,3,1030.9058519,51.268115942,1329.23019562,40217579,39013,137144812,9107,0,0,0,0,live
295237,12028,36953,578726,49188071,48.11489857,118.863399714,1331.09817877,82.9172307315,168565582.904582,165904.002547106,6.02770518579,147.9635499,295235,24.5476843768,298.788564546,295076,7.98538644728,176.920246042,289364,899716,40740.1511328,125163.851414,1016.04622106,560.006562261,313607.349776,3,1016.06696474,48.11489857,1331.09817877,49766797,48981,168565582,12027,0,0,0,0,live
292228,10576,33981,543064,45209161,51.3487140696,126.233692978,1330.4246785,87.4173007769,156563453.878478,152473.411172099,6.55866774396,157.100202875,292161,27.6275177305,322.2357435,292067,8.59526191878,186.618050706,259816,832804,36190.9194191,116282.491753,1026.82804435,552.960004381,305764.766445,3,1026.85108962,51.3487140696,1330.4246785,45752225,44557,156563453,10575,0,0,0,0,live
298621,16828,46913,1811950,54031228,107.674708819,268.936605991,1151.73252617,391.002823084,187003519.511354,213451.16384983,4.68498588014,19.7608848138,298621,17.7465383015,37.292208076,298553,6.36410726467,23.7399576984,479250,1315211,56352.3663774,157098.797472,876.081908318,586.028027557,343428.849082,2,876.09565272,107.674708819,1151.73252617,55843178,63741,187003519,16827,0,0,0,0,live
294471,9440,29103,503866,38664983,53.3756355932,134.475529272,1328.55660928,99.2350708582,133014283.240115,130888.950015451,7.6402625707,167.391688274,294471,31.1972666596,340.810535356,294305,10.1128788399,199.958518446,231884,712244,32057.4861362,98831.4638793,1016.24185347,559.092813849,312584.774497,3,1016.26821991,53.3756355932,1328.55660928,39168849,38543,133014283,9439,0,0,0,0,live
