Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Mean,Packet Length Std,Packet Length Variance,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Fwd Act Data Pkts,Active Mean,Active Std,Idle Mean,Idle Std,Label
295150,7261,39969,987098,51966804,135.945186613,314.118752479,1300.17773775,200.703210255,179413525.326105,160020.328646451,6.24933833026,118.072213294,295150,40.6542699725,299.681757597,295143,7.38448258607,128.947086943,143378,790995,24601.0503134,135419.278333,1121.19184434,474.974129893,225600.424067,5,1121.21558332,135.945186613,1300.17773775,52953902,47230,179413525,7260,0,0,0,0,live
296597,5946,25197,727284,32541602,122.314833502,292.861343124,1291.48716117,213.893915955,112168653.088197,105001.062047155,9.5240190097,118.041518356,296597,49.8901597981,266.674004689,296595,11.771511351,132.063035517,169308,713736,20047.4043905,84953.6576567,1068.26454534,514.340381941,264546.028495,4,1068.29884725,122.314833502,1291.48716117,33268886,31143,112168653,5945,0,0,0,0,live
290598,4562,13744,415838,17901274,91.1525646646,238.156621048,1302.47919092,197.310680461,63032477.8560073,62994.2394648277,15.875334608,265.198838673,290598,63.7136592852,528.58318198,290560,21.1423997672,308.70264279,63548,196100,15698.6627575,47295.5767073,1000.61162397,563.82474395,317898.34189,3,1000.66628428,91.1525646646,1302.47919092,18317112,18306,63032477,4561,0,0,0,0,live
151392,444,8960,40878,11937163,92.0675675676,249.225219172,1332.27265625,74.8313182167,79119378.8311139,62116.8886070598,16.1003934914,627.080482921,151392,341.742663657,2872.83727848,151329,16.8912825092,643.619276919,12516,224380,2932.78376665,59184.1048404,1273.72440191,278.303212674,77452.6781848,20,1273.85984687,92.0675675676,1332.27265625,11978041,9404,79119378,443,0,0,0,0,live
295984,5318,15927,444800,20891381,83.6404663407,221.719835929,1311.69592516,171.0528159,72085589.0858965,71777.5285150549,13.9325927321,250.05062402,295964,55.6637201429,499.469437979,295946,18.5825693834,290.993395073,74254,226272,17967.1874155,53810.3410995,1004.29765603,563.249083142,317249.52966,2,1004.34492822,83.6404663407,1311.69592516,21336181,21245,72085589,5317,0,0,0,0,live
296127,2076,7642,198772,9977630,95.7475915222,248.167347092,1305.63072494,182.375527757,34364992.047331,32817.00081384,30.4751466502,374.947541445,296127,142.711807229,802.123653604,296087,38.7497709724,426.112226443,33024,118976,7010.50562765,25806.4951862,1047.17841342,534.048595648,285207.902514,3,1047.28616999,95.7475915222,1305.63072494,10176402,9718,34364992,2075,0,0,0,0,live
292181,4790,15036,303268,19877908,63.3127348643,169.860548311,1322.02101623,131.521724092,69070802.0028681,67855.1993456111,14.7380075662,243.793918583,292081,60.9899770307,499.631173808,292020,19.4226804124,289.741348241,66884,209196,16393.9475873,51461.2517583,1017.92041156,557.125148572,310388.431172,3,1017.97175426,63.3127348643,1322.02101623,20181176,19826,69070802,4789,0,0,0,0,live
298411,7630,31593,1339510,40084070,175.558322412,360.127264747,1268.76428323,263.787466007,138813850.695852,131439.524682401,7.60825557085,113.80663861,298411,39.1153493249,256.192913498,298404,9.44555583692,127.577515349,120644,506220,25568.7625456,105870.762137,1056.10723027,518.197500665,268528.649695,4,1056.13415598,175.558322412,1268.76428323,41423580,39223,138813850,7629,0,0,0,0,live
297859,9616,43607,865092,57093463,89.9638103161,237.049454393,1309.27289197,167.694649437,194583863.505887,178685.216830782,5.59653902522,91.0840996689,297859,30.978575143,212.556618722,297853,6.83055084163,101.25366359,204688,930716,32283.7315643,146401.485267,1088.97677739,503.260518061,253271.149039,4,1088.99723804,89.9638103161,1309.27289197,57958555,53223,194583863,9615,0,0,0,0,live
293546,4456,13505,411892,17511345,92.4353680431,239.972267097,1296.65642355,208.722609699,61057677.5019929,61186.321734924,16.3444320713,225.031179029,293546,65.8913580247,448.940645361,293506,21.7347452607,262.363467716,59460,177304,15179.9036608,46006.4180742,997.905355751,563.519430647,317554.148717,3,997.960915317,92.4353680431,1296.65642355,17923237,17961,61057677,4455,0,0,0,0,live
299312,22585,16808,15263466.0,1243402.0,1337.0,28.0,675.823156963,490.963281109,1337.0,29.0,73.9767967634,192.569264054,5.514936922007804E7,131611.82979633292,7.59829406986,17.5331318721,1533.0,0.0,299312.0,13.253276656,23.1999993678,1538.0,0.0,299256.0,17.8054382103,28.3793241584,1533.0,0.0,0,0,0,0,634027,474844,75456.3799647,56155.4498316,28.0,1337.0,419.032619181,492.564582077,242619.867517,0,0,0,0,0,0,0,0,0.0,419.043256416,675.823156963,73.9767967634,0,0,0,16506868,39393,55149369,0,0,0,0,0,0,22584,-1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,live
296545,4656,13135,423424,17053550,90.941580756,237.680222812,1298.32889227,208.761877471,58935318.4171036,59994.2673118751,16.6691961776,269.383165812,296545,63.7046186896,524.482224641,296505,22.5753768844,316.250292305,72660,203168,15700.8211233,44293.4461886,982.354934802,573.255550448,328621.926119,2,982.4101512,90.941580756,1298.32889227,17476974,17791,58935318,4655,0,0,0,0,live
109135,454,10022,42320,13345469,93.2158590308,254.51475211,1331.61734185,79.3485811858,122671819.306364,95991.2035552298,10.4186157518,386.095279142,109135,240.91611479,1852.93150708,108970,10.8741642551,399.014076401,11888,213544,4159.98533926,91831.218216,1277.95418536,269.086126104,72407.3432616,22,1278.07617411,93.2158590308,1331.61734185,13387789,10476,122671819,453,0,0,0,0,live
297459,8565,33025,1537074,41588889,179.459894921,364.065321505,1259.31533687,281.369311476,144981200.770526,139817.588306288,7.15234797663,78.2277671361,297456,34.7333021952,169.989654514,297458,9.00732800388,88.5904735235,171728,666236,28793.8841992,111023.704107,1036.932269,529.94690698,280843.724217,3,1036.95720125,179.459894921,1259.31533687,43125963,41590,144981200,8564,0,0,0,0,live
296869,5614,24228,671924,31331454,119.687210545,288.812834736,1293.1919267,211.304898585,107803030.966521,100522.452664306,9.94835963942,144.391572424,296869,52.8895421343,329.791064205,296867,12.2535600776,161.19658633,160724,693012,18910.6979846,81611.7546797,1072.42793955,512.122055168,262268.99939,4,1072.46387642,119.687210545,1293.1919267,32003378,29842,107803030,5613,0,0,0,0,live
292903,6360,21863,476026,28773459,74.8468553459,201.795218973,1316.08008965,155.813302784,99860653.5269355,96356.1315520838,10.3785344766,183.777388504,292716,46.0317660009,397.817808083,292743,13.3904949227,216.870254431,100156,347896,21713.6731273,74642.4584248,1036.37414966,544.911688133,296928.747864,3,1036.41087057,74.8468553459,1316.08008965,29249485,28223,99860653,6359,0,0,0,0,live
295799,1252,17031,295292,21370207,235.856230032,416.762300892,1254.78286654,261.452152657,73243990.0067276,61808.8634511949,16.1797943332,268.783507956,295750,236.410871303,1011.43804983,295760,17.3669994128,280.809658623,16544,223647,4232.60389656,57576.2595546,1185.00568803,376.542498833,141784.253427,13,1185.07050265,235.856230032,1254.78286654,21665499,18283,73243990,1251,0,0,0,0,live
297409,4672,13529,424462,17582284,90.8523116438,237.399798058,1299.59967477,204.486571255,60545397.0794428,61198.5514896994,16.3411538462,261.035994588,297409,63.6713765789,512.611463737,297369,21.981741573,305.419021149,72116,205264,15709.0067886,45489.5447011,989.332545874,569.4867029,324315.10478,2,989.386901819,90.8523116438,1299.59967477,18006746,18201,60545397,4671,0,0,0,0,live
