NormFwd_Packet_Length_Mean,NormFwd_Packet_Length_Std,NormBwd_Packet_Length_Mean,NormBwd_Packet_Length_Std,NormFlow_IAT_Mean,NormFlow_IAT_Std,NormFwd_IAT_Mean,NormFwd_IAT_Std,NormBwd_IAT_Mean,NormPacket_Length_Mean,NormPacket_Length_Std,Label
0.373377,0.000000,2.252800,3.363707,0.003713,0.024635,0.029976,0.000000,10.000000,1.142490,2.920411,dns
0.292208,0.000000,0.481400,0.000000,10.000000,0.000000,0.000000,0.000000,0.000000,0.351376,0.286501,dns
0.365260,0.000000,2.376910,0.000000,0.165191,0.000000,0.000000,0.000000,0.000000,1.048961,2.772920,dns
0.267857,0.000000,3.753412,0.000000,0.170520,0.000000,0.000000,0.000000,0.000000,1.459762,4.768195,dns
0.316558,0.000000,2.008339,0.000000,10.000000,0.003318,10.000000,0.000000,0.000000,0.744091,2.020382,dns
0.373377,0.000000,2.252800,3.363707,0.000085,0.000346,0.035305,0.000000,0.000164,1.142490,2.920411,dns
0.373377,0.000000,2.252800,3.363707,0.057805,0.389783,0.036637,0.000000,10.000000,1.142490,2.920411,dns
0.373377,0.000000,2.252800,3.363707,0.062613,0.000187,0.031974,0.000000,0.186449,1.142490,2.920411,dns
0.373377,0.000000,2.252800,3.363707,0.069940,0.000366,0.025313,0.000000,0.000033,1.142490,2.920411,dns
0.373377,0.000000,2.978660,0.000000,0.060568,0.189188,10.000000,0.000000,0.000000,1.034751,3.101464,dns
0.373377,0.000000,2.252800,3.363707,0.005007,0.033233,0.031974,0.000000,10.000000,1.142490,2.920411,dns
0.373377,0.000000,2.567464,2.746455,0.558251,5.302732,10.000000,6.545814,8.223683,1.214961,3.036893,dns
0.373377,0.000000,1.993295,2.439023,0.000066,0.000290,0.038636,0.000000,0.049065,1.035527,2.412417,dns
0.267857,0.000000,2.437085,0.000000,1.308210,0.000000,0.000000,0.000000,0.000000,1.007623,2.977564,dns
0.373377,0.000000,2.252800,3.363707,0.000075,0.000359,0.031974,0.000000,0.058879,1.142490,2.920411,dns
0.373377,0.000000,2.252800,3.363707,0.000064,0.000127,0.035305,0.000000,0.274767,1.142490,2.920411,dns
0.373377,0.000000,1.993295,2.439023,0.000067,0.000323,0.000027,0.000000,0.055608,1.035527,2.412417,dns
0.267857,0.000000,2.369388,5.253280,0.000134,0.000177,0.291766,0.000000,1.059814,1.130088,3.677832,dns
0.292208,0.000000,3.828631,0.000000,0.187839,0.000000,0.000000,0.000000,0.000000,1.501100,4.839820,dns
