NormFwd_Packet_Length_Mean,NormFwd_Packet_Length_Std,NormBwd_Packet_Length_Mean,NormBwd_Packet_Length_Std,NormFlow_IAT_Mean,NormFlow_IAT_Std,NormFwd_IAT_Mean,NormFwd_IAT_Std,NormBwd_IAT_Mean,NormPacket_Length_Mean,NormPacket_Length_Std,Label
0.651173,4.407330,7.483765,8.444054,0.001983,0.000066,0.006792,0.000108,0.013753,5.641772,10.000000,live
1.603679,7.579114,9.479681,4.825200,0.009330,0.000658,0.124098,0.002079,0.049535,9.148810,6.852483,live
0.399310,2.387546,10.000000,1.572805,0.004157,0.000398,0.016992,0.000703,0.027010,7.886195,9.905888,live
0.516355,3.443578,9.925340,2.702444,0.011032,0.000692,0.043556,0.001215,0.072511,7.762597,10.000000,live
0.849690,5.232286,8.135270,8.160475,0.003496,0.000048,0.011794,0.000073,0.024401,6.138374,10.000000,live
0.519558,3.519780,8.674793,7.321869,0.005063,0.000294,0.018741,0.000494,0.034060,6.658095,10.000000,live
0.747966,4.828487,9.812270,3.498294,0.019544,0.000862,0.084652,0.001550,0.124782,7.940917,9.722805,live
1.282822,6.685300,10.000000,1.499826,0.008747,0.001344,0.506564,0.008818,0.043687,10.000000,3.147411,live
0.787708,4.931247,9.837267,3.472246,0.010394,0.000697,0.048873,0.001318,0.064825,8.140661,9.462979,live
0.728469,4.639898,9.789283,3.757213,0.008613,0.000546,0.035206,0.000963,0.055994,7.789369,9.938159,live
0.777172,4.916724,9.820782,3.456416,0.020299,0.000974,0.095065,0.001821,0.126752,8.116624,9.464757,live
0.908768,5.482105,8.815545,7.066395,0.003860,0.000132,0.016206,0.000234,0.024885,7.126827,10.000000,live
0.596918,3.904331,9.904146,2.904461,0.006668,0.000475,0.029677,0.000903,0.042215,8.040389,9.645332,live
1.589693,7.549918,9.480355,4.734721,0.009060,0.000639,0.122597,0.002034,0.048036,9.159043,6.774405,live
1.223101,6.593460,9.583072,4.753346,0.004989,0.000221,0.025539,0.000430,0.030450,8.173681,9.219822,live
0.854839,5.393543,9.778267,3.737543,0.022183,0.000923,0.107129,0.001746,0.137385,8.157768,9.387995,live
0.555749,3.651450,9.915586,2.792969,0.006096,0.000432,0.025164,0.000793,0.039488,7.870550,9.890299,live
0.852233,5.227760,9.778238,3.905968,0.013035,0.000882,0.059623,0.001640,0.081916,8.050698,9.583002,live
0.496428,3.388276,9.978449,2.075796,0.007207,0.000560,0.036428,0.001100,0.044110,8.341481,9.201830,live
